First	Last	Affiliation	Email	Women/Diversity	Invite Preference	PC Accept Status	Industry/Acad	Career Stage	Comments	Geo	Area Populated	dist. systems	security/privacy	storage/caching/DB	energy-eff	cloud	mobile/sensor/iot	wireless	measurement	networking	net management	virt/os	systems	deployments	big data	economics	hardware	verification	ml-systems
D0B8	7472	0EAA	22D2				A	Early			3				1		1	1											
08FF	8D2F	F221	698D				A	Early			3									1	1							1	
5EC9	35AD	F788	298D				A	Early	kv systems, os		3			1								1	1						
4908	3997	0EAA	BD77		1	0	A	Senior			7	1	1			1		1	1	1	1								
2AD4	8170	7E92	C19B	W	1	1	A	Early		EU	2			1									1						
9D70	A218	8701	0F12				A	Senior			5	1	1									1	1					1	
98FF	74C3	0749	0D99				A	Early			4		1							1	1							1	
A340	B66C	87B1	B1C4	W	1	1	A	Senior			2			1									1						
DDB8	33DB	DA06	D088		1	1	I	Early			3			1						1			1						
C21F	67D3	DA06	716B		1	1	I	Mid	storage		2			1			1												
9CB1	0483	B6FB	1121	W	1	1	A	Mid			3				1		1	1											
CA99	2851	2975	7430		1	0	A	Senior	systems, networking		5	1				1				1			1						1
A0F4	13C1	0BEA	7065				A	Early			2			1											1				
73C6	DAC7	3AA0	1AF9		1	1	A	Early	systems		4	1								1		1			1				
F476	A125	DA06	5E76	W	1	1	I	Early	networking, ml for systems		2									1	1								
D137	25BC	C14E	0634				I	Senior			5		1			1				1		1	1						
F2FB	100B	ED6B	0C68		1	1	A	Senior			7		1				1	1	1	1			1						1
151C	F1E3	3742	FB8C				A	Early			4									1		1	1				1		
7655	3238	6D89	4D45				A	Senior			3									1	1							1	
569F	E185	0729	3700				A	Senior	security		2		1															1	
569F	3F27	DB68	89A9		0		A	Senior		EU	7	1	1	1		1							1		1			1	
CBC1	5CDB	5552	7D9F				A	Senior		Asia	5					1				1		1	1						1
394E	5875	C35E	449F		1	0	I	Senior			3									1	1						1		
CBB2	E9F9	D8EE	8E67		1	0	A	Senior			4											1	1		1		1		
BE93	1A62	1B16	70AB		1	1	I	Senior			3									1				1					1
1CDB	5979	062F	DC91	W	1	1	A	Mid			3		1				1	1											
7EA8	5F8C	698B	10C0		1	1	A	Mid		EU	2									1								1	
27FF	270C	0329	D509	W	1	0	A	Mid			3		1														1	1	
41F4	09AD	F501	8792	W	1	0	I	Senior			3	1	1													1			
D8F5	6364	DA06	BD4C				I	Mid			5	1	1	1		1							1						
F102	3F1F	0729	BBC1		1	0	A	Senior	:-)		8	1		1	1					1		1	1		1				1
75B8	4034	05B9	D045				A	Senior		EU	6					1			1	1	1	1	1						
4323	A40A	2734	6852		1	0	I	Mid	systems for ML, big-data systems		4	1		1										1					1
C23B	8E00	37B0	5995				A	Early		Asia	2								1	1									
856E	6FC1	9F08	D2AD	W	1	1	A	Senior			4				1		1	1		1									
40BF	9C10	F788	69A2				A	Early	wireless		3						1	1		1									
E55D	57BD	1580	260D				I	Mid			3									1	1							1	
6A22	2C1A	668D	6219		1	0	A	Senior			3									1	1							1	
6A22	00FE	0EAA	BFB5		1	1	A	Mid			4					1				1			1				1		
E45D	93E2	0729	F694	W	1	1	A	Early			5	1	1										1			1			1
2665	E284	6D89	BD4C				A	Early	wireless		2						1	1											
CF2A	C5E1	81AD	B06D	D	1	0	A	Senior			6	1		1		1						1	1	1					
673F	65F3	2657	AB27				A	Mid			5	1	1						1	1			1						
2DD5	6C8B	6044	1624		1	0	A	Mid	distributed systems		3			1								1	1						
1A0E	AA6B	F788	87CC				A	Early			3		1									1	1						
C589	D483	DA06	68D5		1	1	I	Senior			4					1				1				1			1		
B421	4B2D	8FD6	0167	W	1	0	A	Senior		Asia	7	1	1	1		1							1		1			1	
EB24	4E50	DA06	2D56	W	1	0	I	Early	storage, os		5	1		1		1						1	1						
969D	D810	E43A	7CD0	W	1	0	I	Early			1												1						
2BA0	9A62	2EEC	4A40	D	1	0	A	Senior	web based systems		3	1		1									1						
F252	650B	A581	5537	W	1	0	A	Early			6	1		1		1							1		1		1		
16F3	5E31	DA06	4A3C		1	1	I	Senior			7	1	1	1		1						1	1					1	
8229	950C	60F6	A9EB	W	1	0	A	Senior			6	1	1						1	1	1					1			
EDB2	3AA0	DA06	BD4C				I	Senior			7					1			1	1	1		1	1			1		
083F	EAC7	B38F	302C		1	1	I	Senior			6	1		1		1							1	1	1				
5227	EB4C	E43A	7703		1	0	I	Senior	systems		6	1	1	1		1						1	1						
6F2D	7B9C	9EDF	1E5E		1	1	A	Early		EU	2														1				1
10AB	A0EC	7C06	BD4C				A	Early			2														1				1
E82B	5B27	A6F5	195E				A	Senior			3				1		1	1											
8406	C693	6044	CFB1		1	1	A	Early			5			1					1	1					1				1
90ED	3BD4	0729	A65B	W	1	0	A	Early			5								1	1	1	1	1						
B7EA	1FD5	61F6	E950	W	1	1	A	Senior		Asia	5				1		1	1	1	1									
D97D	D06F	DB68	1EA6	W	1	0	A	Senior		EU	4									1	1		1					1	
0558	C9DD	0954	A801		1	0	A	Early			6		1						1	1	1			1					1
15C7	75D8	A6F5	BD4C				A	Early			4						1	1	1					1					
3A37	CDC7	60F6	D74A		1	1	A	Senior	wireless		4				1		1	1									1		
75E4	D32D	37B0	416F		1	1	A	Mid		Asia	7	1	1		1					1		1			1				1
2F6B	186B	7E92	60D1				A	Mid		EU	3		1							1	1								
1FD5	EDD4	808B	F4D0		1	1	A	Senior	wireless		3							1	1				1						
5B51	2498	21C1	41D5	W	0		A	Senior			5	1	1	1									1		1				
9D19	13DE	E463	F769		1	1	I	Mid	distributed systems		5	1		1		1							1	1					
E226	6266	DC08	1E8A				A	Early			2	1													1				
596C	9360	F788	60EE	W	1	1	A	Early			3								1	1	1								
F453	9007	DC21	04EA		1	0	A	Early	big-data systems, systems for ML		6	1		1		1							1		1				1
7FC4	90E1	E533	780C	W	1	0	A	Senior		EU	6	1	1	1		1							1		1				
6E3C	5CBB	DB44	F075		1	0	A	Senior			2	1	1																
6E3C	F1CE	2511	A4E4				A	Mid		Asia	7		1							1	1		1	1				1	1
6E3C	E0DF	E43A	A042		1	1	I	Early	distributed systems		2	1		1															
6199	C456	DA06	B6D1		1	0	I	Senior	distributed systems	EU	6	1	1	1						1			1						1
1231	BB27	2EEC	B303	W	1	1	A	Mid			7	1				1			1	1	1		1				1		
1542	11BF	F788	5127		0		A	Early	networking		3									1	1								1
8306	E650	0729	4F90	W	1	0	A	Senior			4			1	1	1			1										
6741	8443	2657	8F15				A	Early			3									1					1				1
CDDC	896A	B38F	1AFB	W	1	0	I	Early			3	1								1	1								
2FE8	EC48	7C06	8B5D	W	1	0	A	Early			3	1		1									1						
068C	D185	81AD	5EA3				A	Mid			5									1	1			1			1	1	
F83B	FE15	9928	7401	W	1	0	A	Mid		EU	7	1	1						1	1	1						1	1	
F564	CE4B	0A7F	365D				A	Early			2						1	1											
D34C	6625	3341	D3D5				A	Early			3	1	1										1						
75FD	6FB7	B38F	90FC	W	1	1	I	Mid			2								1	1									
E591	F7AE	81AD	F537		0		A	Early			5								1	1	1		1				1		
12A2	EBD4	6D89	E03A	W	1	0	A	Early			2									1					1				
00B3	C4F1	7C06	56ED	W	1	0	A	Early	security		4	1	1			1									1				
9F18	4D15	4754	BFDB				I	Senior	systems for ml, mobility	Asia	5	1			1		1	1		1									
A062	C1A5	DDE4	4DC3		1	1	A	Senior			6				1		1	1		1	1		1						
FB35	238E	4754	E216	W	1	0	I	Senior	systems	Asia	2												1	1					
6521	DE54	0729	D466	W	1	0	A	Early	theory, systems for ML		5	1		1		1							1		1				
0598	8F21	31A6	96A1		1	0	A	Senior			6	1							1	1	1			1				1	
A6C7	68F3	668D	6E42				A	Early			6			1	1				1	1			1		1				
BA05	B43D	708B	259A	W	1	0	I	Senior	big-data systems, os		4	1				1						1	1						
28AE	E8C5	B471	A8CD				A	Mid			8	1	1			1				1	1	1	1	1					
092C	6625	DA06	A422				A	Senior			4	1		1								1	1						
02DB	7625	6D89	DA32				A	Senior			4				1			1	1	1									
3239	E055	0BEA	A1C9	W	1	0	A	Mid	security		3	1	1			1													
703F	DAC3	DA06	BD4C				I	Early			2									1								1	
703F	B2DD	B471	1AA5		1	0	A	Early			4	1		1								1	1						
4BC9	C37A	8309	1B14	W	1	1	A	Early			3									1			1						1
9F9A	35C2	7C06	04A8				A	Senior			7	1	1							1	1		1			1		1	
10E6	B05E	AC0C	429D	W	1	0	A	Mid			8	1	1						1	1	1		1			1		1	
FF60	2976	A224	01BF		1	1	A	Early	big data systems, systems for ml		5			1		1							1		1				1
A2EE	9CEA	31A6	3AC6		1	1	A	Mid	wireless		2						1	1											
5B63	26DF	DA06	BE61				I	Mid			5	1							1				1		1				1
A4DC	0D8C	D8EE	E478				A	Early	os, networking, storage		6	1			1					1		1	1				1		
7008	C742	7E92	DB3A				A	Senior			4	1	1				1	1											
A60F	6E5B	237C	16B3	W	1	1	I	Senior			5								1	1	1	1	1						
2A9D	214A	62AB	08DB	W	1	0	A	Senior			4	1								1	1	1	s	s					
ED45	5875	9F08	BD4C				A	Mid			5	1	1									1	1				1		
BFED	6C90	874B	6A37	D	1	1	A	Early	networking		7	1	1			1			1	1	1		1						
C520	D251	7E92	4D9B		1	0	A	Senior	networking, OS	EU	5	1								1		1	1				1		
8D8A	7FDC	D8EE	5716				A	Early	storage		2			1								1							
E914	9BF7	808B	F7B1	W	1	1	A	Mid			3						1	1	1										
52E0	7F92	60F6	BD4C				A	Early			1	1																	
8DFD	2555	F0F4	EE1B	W	1	0	A	Mid			2						1	1											
7F34	ADF5	06F9	9907	W	0		A	Senior			11	1	1	1		1				1	1	1	1	1	1				1
DADB	8799	DB44	9C74	W	1	1	A	Senior			4		1						1	1	1								
716D	4E50	0EAA	56EB	W	1	1	A	Early	storage		6	1		1		1						1	1				1		
A1F7	A087	AC0C	C188		1	1	A	Early			5								1	1	1				1		1		
7DBA	6BA3	2657	AD21	W	1	0	A	Senior			10		1		1		1	1	1	1	1		1	1					1
